Title,Title,Budget,Revenue,BD Ratio,IMDB score
The Da Vinci Code,The Da Vinci Code,125000000,767820459,6.142563672,6.60
Rio 2,Rio 2,103000000,500188435,4.856198398,6.30
X2,X2,110000000,407711549,3.706468627,7.40
Fast Five,Fast Five,125000000,626137675,5.0091014,7.30
Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows,125000000,334615000,2.67692,7.50
Clash of the Titans,Clash of the Titans,125000000,232713139,1.861705112,5.80
Total Recall,Total Recall,65000000,261317921,4.020275708,7.50
The 13th Warrior,The 13th Warrior,160000000,61698899,0.385618119,6.60
The Bourne Legacy,The Bourne Legacy,130000000,276572938,2.127484138,6.70
Batman & Robin,Batman & Robin,125000000,238207122,1.905656976,7.50
How the Grinch Stole Christmas,How the Grinch Stole Christmas,123000000,345141403,2.806027667,6.10
The Day After Tomorrow,The Day After Tomorrow,125000000,544272402,4.354179216,6.40
Mission: Impossible II,Mission: Impossible II,125000000,546388105,4.37110484,6.10
The Perfect Storm,The Perfect Storm,120000000,325756637,2.714638642,6.40
Fantastic 4: Rise of the Silver Surfer,Fantastic 4: Rise of the Silver Surfer,130000000,289047763,2.223444331,5.60
Life of Pi,Life of Pi,120000000,609016565,5.075138042,7.90
Ghost Rider,Ghost Rider,110000000,228738393,2.079439936,5.20
Jason Bourne,Jason Bourne,120000000,415484914,3.462374283,6.60
Charlie's Angels: Full Throttle,Charlie's Angels: Full Throttle,120000000,259175788,2.159798233,4.90
Prometheus,Prometheus,130000000,403170142,3.101308785,7.00
Stuart Little 2,Stuart Little 2,120000000,169956806,1.416306717,5.40
Elysium,Elysium,115000000,286140700,2.48818,6.60
The Chronicles of Riddick,The Chronicles of Riddick,105000000,115772733,1.102597457,6.70
RoboCop,RoboCop,120000000,242688965,2.022408042,7.50
Speed Racer,Speed Racer,120000000,93945766,0.782881383,6.00
How Do You Know,How Do You Know,120000000,48668907,0.405574225,5.40
Knight and Day,Knight and Day,117000000,261930431,2.238721632,6.30
Oblivion,Oblivion,120000000,286168572,2.3847381,7.00
Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,113000000,850000000,7.522123894,7.50
Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,120000000,649398328,5.411652733,6.60
"Monsters, Inc.","Monsters, Inc.",115000000,562816256,4.8940544,8.00
The Wolverine,The Wolverine,120000000,415440673,3.462005608,6.70
Star Wars: Episode I - The Phantom Menace,Star Wars: Episode I - The Phantom Menace,115000000,924317558,8.037543983,6.50
The Croods,The Croods,135000000,585178928,4.334658726,7.20
Asterix at the Olympic Games,Asterix at the Olympic Games,97250400,132900000,1.366575356,5.20
Windtalkers,Windtalkers,115000000,77628265,0.675028391,6.10
The Huntsman: Winter's War,The Huntsman: Winter's War,115000000,164602163,1.431323157,6.10
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,125000000,477200000,3.8176,5.80
Gravity,Gravity,105000000,716392705,6.822787667,7.70
Dante's Peak,Dante's Peak,116000000,178127760,1.535584138,5.90
Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,245623848,1.819435911,6.00
Fantastic Four,Fantastic Four,120000000,167977596,1.3998133,5.70
Night at the Museum,Night at the Museum,110000000,574480841,5.2225531,6.40
San Andreas,San Andreas,110000000,470490832,4.277189382,6.00
Tomorrow Never Dies,Tomorrow Never Dies,110000000,333011068,3.027373345,6.50
The Patriot,The Patriot,110000000,215294342,1.957221291,7.20
Ocean's Twelve,Ocean's Twelve,110000000,362744280,3.297675273,6.50
Mr. & Mrs. Smith,Mr. & Mrs. Smith,110000000,478207520,4.347341091,6.50
Insurgent,Insurgent,110000000,295238201,2.683983645,6.20
The Aviator,The Aviator,116000000,102000000,0.879310345,7.50
Gulliver's Travels,Gulliver's Travels,112000000,237382724,2.119488607,4.90
The Green Hornet,The Green Hornet,120000000,227817248,1.898477067,5.80
300: Rise of an Empire,300: Rise of an Empire,110000000,337580051,3.068909555,6.20
The Smurfs,The Smurfs,110000000,563749323,5.124993845,5.40
Home on the Range,Home on the Range,110000000,103951461,0.945013282,5.30
Allegiant,Allegiant,110000000,179246868,1.629516982,5.70
Real Steel,Real Steel,110000000,299268508,2.7206228,7.10
The Smurfs 2,The Smurfs 2,105000000,347434178,3.308896933,5.30
Speed 2: Cruise Control,Speed 2: Cruise Control,160000000,164508066,1.028175413,3.90
Ender's Game,Ender's Game,110000000,125537191,1.141247191,6.60
Live Free or Die Hard,Live Free or Die Hard,110000000,383531464,3.486649673,7.10
The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,93000000,871368364,9.369552301,8.80
Around the World in 80 Days,Around the World in 80 Days,110000000,72178895,0.656171773,5.90
Ali,Ali,107000000,87713825,0.819755374,6.80
"I, Robot","I, Robot",120000000,347234916,2.8936243,7.10
Kingdom of Heaven,Kingdom of Heaven,130000000,211643158,1.628024292,7.20
Stuart Little,Stuart Little,133000000,300135367,2.256656895,5.90
The Princess and the Frog,The Princess and the Frog,105000000,267045765,2.543293,7.10
The Martian,The Martian,108000000,630161890,5.834832315,8.00
The Island,The Island,126000000,162949164,1.293247333,6.80
Town & Country,Town & Country,90000000,10372291,0.115247678,5.60
Gladiator,Gladiator,103000000,457640427,4.443110942,8.50
Minority Report,Minority Report,102000000,358372926,3.513460059,7.60
Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,100000000,876688482,8.76688482,7.40
Casino Royale,Casino Royale,150000000,599045960,3.993639733,8.00
Planet of the Apes,Planet of the Apes,100000000,362211740,3.6221174,5.70
Terminator 2: Judgment Day,Terminator 2: Judgment Day,100000000,520000000,5.2,8.50
Public Enemies,Public Enemies,80000000,214104620,2.67630775,7.00
American Gangster,American Gangster,100000000,266465037,2.66465037,7.80
True Lies,True Lies,115000000,378882411,3.294629661,7.20
The Taking of Pelham 1 2 3,The Taking of Pelham 1 2 3,100000000,150166126,1.50166126,5.50
Little Fockers,Little Fockers,100000000,310650585,3.10650585,6.60
The Other Guys,The Other Guys,100000000,170432927,1.70432927,6.10
Eraser,Eraser,100000000,242295562,2.42295562,8.40
Django Unchained,Django Unchained,100000000,425368238,4.25368238,6.90
The Emperor's New Groove,The Emperor's New Groove,100000000,169327687,1.69327687,7.30
The Expendables 2,The Expendables 2,100000000,312573423,3.12573423,6.60
National Treasure,National Treasure,100000000,347451894,3.47451894,6.80
Eragon,Eragon,100000000,249288105,2.49288105,5.10
Where the Wild Things Are,Where the Wild Things Are,100000000,100086793,1.00086793,6.70
Epic,Epic,100000000,268426634,2.68426634,6.70
The Tourist,The Tourist,100000000,278731369,2.78731369,6.00
End of Days,End of Days,100000000,211989043,2.11989043,5.80
Blood Diamond,Blood Diamond,100000000,170877916,1.70877916,8.00
The Wolf of Wall Street,The Wolf of Wall Street,100000000,392000694,3.92000694,8.20
Batman Forever,Batman Forever,100000000,336529144,3.36529144,5.40
Starship Troopers,Starship Troopers,105000000,121214377,1.154422638,7.20
Cloud Atlas,Cloud Atlas,102000000,130482868,1.279243804,7.40
Legend of the Guardians: The Owls of Ga'Hoole,Legend of the Guardians: The Owls of Ga'Hoole,80000000,140073390,1.750917375,6.90
Catwoman,Catwoman,100000000,82102379,0.82102379,3.30
Hercules,Hercules,100000000,243400000,2.434,7.30
Treasure Planet,Treasure Planet,140000000,109578115,0.782700821,7.20
Land of the Lost,Land of the Lost,100000000,68688831,0.68688831,5.30
The Expendables 3,The Expendables 3,90000000,206172544,2.290806044,6.10
Point Break,Point Break,105000000,133718711,1.273511533,7.30
In the Heart of the Sea,In the Heart of the Sea,100000000,93820758,0.93820758,6.90
The Adventures of Pluto Nash,The Adventures of Pluto Nash,100000000,7103973,0.07103973,3.80
Green Zone,Green Zone,100000000,94882889,0.94882889,6.80
The Peanuts Movie,The Peanuts Movie,99000000,246233113,2.487203162,7.10
The Spanish Prisoner,The Spanish Prisoner,10000000,13835130,1.383513,7.30
The Mummy Returns,The Mummy Returns,98000000,433013274,4.418502796,6.30
Gangs of New York,Gangs of New York,100000000,193772504,1.93772504,7.50
The Flowers of War,The Flowers of War,94000000,95311434,1.013951426,7.60
Surf's Up,Surf's Up,85000000,149044513,1.753464859,6.70
The Stepford Wives,The Stepford Wives,90000000,102000000,1.133333333,5.30
Black Hawk Down,Black Hawk Down,92000000,172989651,1.880322293,7.70
The Fifth Element,The Fifth Element,90000000,263920180,2.932446444,7.70
Sex and the City 2,Sex and the City 2,100000000,288347692,2.88347692,4.50
The Road to El Dorado,The Road to El Dorado,95000000,76432727,0.804555021,6.90
